,United States,6.5
318,"Champaign-Urbana, IL Metropolitan Statistical Area",8.3
318,"Chicago-Joliet-Naperville, IL-IN-WI Metropolitan Statistical Area",8.3
318,"Hinesville-Fort Stewart, GA Metropolitan Statistical Area",8.3
318,"Medford, OR Metropolitan Statistical Area",8.3
318,"Michigan City-La Porte, IN Metropolitan Statistical Area",8.3
318,"Morristown, TN Metropolitan Statistical Area",8.3
318,"Niles-Benton Harbor, MI Metropolitan Statistical Area",8.3
327,"Reno-Sparks, NV Metropolitan Statistical Area",8.4
328,"Memphis, TN-MS-AR Metropolitan Statistical Area",8.6
328,"Pueblo, CO Metropolitan Statistical Area",8.6
330,"Flint, MI Metropolitan Statistical Area",8.8
330,"Kennewick-Pasco-Richland, WA Metropolitan Statistical Area",8.8
330,"Leominster-Fitchburg-Gardner, MA Metropolitan NECTA",8.8
330,"Palm Coast, FL Metropolitan Statistical Area",8.8
334,"Bend, OR Metropolitan Statistical Area",8.9
334,"Las Vegas-Paradise, NV Metropolitan Statistical Area",8.9
334,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",8.9
337,"Beaumont-Port Arthur, TX Metropolitan Statistical Area",9.0
337,"Lake Havasu City-Kingman, AZ Metropolitan Statistical Area",9.0
339,"Chico, CA Metropolitan Statistical Area",9.1
340,"Longview, WA Metropolitan Statistical Area",9.2
340,"Peoria, IL Metropolitan Statistical Area",9.2
340,"Providence-Fall River-Warwick, RI-MA Metropolitan NECTA",9.2
340,"Santa Cruz-Watsonville, CA Metropolitan Statistical Area",9.2
340,"Waterbury, CT Metropolitan NECTA",9.2
345,"Carson City, NV Metropolitan Statistical Area",9.3
346,"Rocky Mount, NC Metropolitan Statistical Area",9.4
347,"Brownsville-Harlingen, TX Metropolitan Statistical Area",9.5
347,"Dalton, GA Metropolitan Statistical Area",9.5
349,"Pine Bluff, AR Metropolitan Statistical Area",9.8
349,"Redding, CA Metropolitan Statistical Area",9.8
351,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",10.4
351,"McAllen-Edinburg-Mission, TX Metropolitan Statistical Area",10.4
353,"Vineland-Millville-Bridgeton, NJ Metropolitan Statistical Area",10.5
354,"New Bedford, MA Metropolitan NECTA",10.6
354,"Yakima, WA Metropolitan Statistical Area",10.6
356,"Bakersfield-Delano, CA Metropolitan Statistical Area",10.7
356,"Madera-Chowchilla, CA Metropolitan Statistical Area",10.7
358,"Salinas, CA Metropolitan Statistical Area",11.0
359,"Kankakee-Bradley, IL Metropolitan Statistical Area",11.3
360,"Rockford, IL Metropolitan Statistical Area",11.6
361,"Stockton, CA Metropolitan Statistical Area",12.1
362,"Danville, IL Metropolitan Statistical Area",12.2
362,"Modesto, CA Metropolitan Statistical Area",12.2
364,"Fresno, CA Metropolitan Statistical Area",12.5
365,"Decatur, IL Metropolitan Statistical Area",12.7
366,"Hanford-Corcoran, CA Metropolitan Statistical Area",12.8
367,"Ocean City, NJ Metropolitan Statistical Area",13.0
368,"Visalia-Porterville, CA Metropolitan Statistical Area",13.4
369,"Yuba City, CA Metropolitan Statistical Area",13.6
370,"Merced, CA Metropolitan Statistical Area",14.2
371,"El Centro, CA Metropolitan Statistical Area",22.5
372,"Yuma, AZ Metropolitan Statistical Area",27.1
